Date,Open,High,Low,Close,Volume
2025-04-07,0.0,497.0,482.0,486.97,46130
2025-04-08,0.0,486.0,478.0,484.65,38820
2025-04-09,0.0,494.0,483.2,486.27,26187
2025-04-10,0.0,492.4,484.0,485.97,30292
2025-04-13,0.0,495.6,484.1,486.97,44237
2025-04-15,0.0,496.0,486.0,487.96,62586
2025-04-16,0.0,497.0,488.0,489.31,43376
2025-04-17,0.0,495.6,489.0,494.38,54656
2025-04-20,0.0,501.2,490.0,492.09,79228
2025-04-21,0.0,495.0,490.0,490.87,49104
2025-04-22,0.0,494.0,485.0,487.76,31332
2025-04-23,0.0,488.0,482.0,486.77,65014
2025-04-24,0.0,489.9,483.0,485.87,30597
2025-04-27,0.0,490.0,483.2,485.01,50578
2025-04-28,0.0,487.9,480.6,481.3,45746
2025-04-29,0.0,488.0,480.0,481.45,29998
2025-04-30,0.0,487.0,478.0,478.18,49915
2025-05-04,0.0,487.4,477.0,478.32,44594
2025-05-05,0.0,481.0,477.0,478.25,39597
2025-05-06,0.0,484.0,475.1,476.94,39968
2025-05-07,0.0,485.0,474.1,483.31,66388
2025-05-08,0.0,490.0,480.5,482.64,54724
2025-05-11,0.0,490.0,484.5,485.65,44892
2025-05-13,0.0,493.6,481.0,487.41,65061
2025-05-14,0.0,490.0,482.0,483.85,25028
2025-05-15,0.0,486.0,481.5,482.11,47247
2025-05-18,0.0,485.0,479.0,480.49,37266
2025-05-19,0.0,488.0,479.9,482.58,42039
2025-05-20,0.0,489.0,481.0,488.16,43243
2025-05-21,0.0,527.0,492.5,494.21,91325
2025-05-22,0.0,503.0,494.6,499.55,71455
2025-05-25,0.0,510.0,495.0,496.75,108411
2025-05-26,0.0,516.0,496.1,498.07,87620
2025-05-27,0.0,498.1,493.6,496.48,33750
2025-05-28,0.0,501.9,494.0,500.42,66059
2025-06-02,0.0,510.4,500.1,500.78,73634
2025-06-03,0.0,505.9,495.0,497.45,54808
2025-06-04,0.0,499.0,490.0,491.11,48051
2025-06-05,0.0,498.0,489.0,492.37,47113
2025-06-08,0.0,495.0,489.0,489.65,50694
2025-06-09,0.0,494.9,489.0,490.93,29647
2025-06-10,0.0,494.9,490.0,491.77,38403
2025-06-11,0.0,495.0,490.0,490.34,39951
2025-06-12,0.0,493.0,488.3,489.44,53316
2025-06-15,0.0,495.0,490.0,490.73,43276
2025-06-16,0.0,497.0,489.0,490.59,48455
2025-06-17,0.0,492.0,487.1,488.99,36559
2025-06-18,0.0,492.0,488.0,489.97,44689
2025-06-19,0.0,494.8,487.0,489.04,78016
2025-06-22,0.0,493.0,485.0,488.99,47834
2025-06-23,0.0,489.9,485.0,487.35,30576
2025-06-24,0.0,493.0,483.2,487.3,54280
2025-06-25,0.0,488.9,481.0,486.24,24807
2025-06-26,0.0,488.5,485.1,485.95,33097
2025-06-29,0.0,490.0,482.0,489.82,40790
2025-06-30,0.0,493.1,490.1,491.81,37425
2025-07-01,0.0,496.4,491.0,491.79,35495
2025-07-02,0.0,495.8,491.0,494.96,55089
2025-07-03,0.0,500.0,490.0,498.22,91180
2025-07-06,0.0,506.8,499.1,500.89,64130
2025-07-07,0.0,503.0,496.3,497.07,36175
2025-07-08,0.0,500.0,493.0,495.46,33006
2025-07-09,0.0,500.0,495.2,499.01,42721
2025-07-10,0.0,522.0,500.0,511.17,264663
2025-07-13,0.0,537.5,521.3,535.77,270279
2025-07-14,0.0,538.0,521.1,522.22,165976
2025-07-15,0.0,530.0,515.0,529.8,136308
2025-07-16,0.0,543.6,530.0,541.37,260180
2025-07-17,0.0,554.0,542.2,548.66,192877
2025-07-20,0.0,560.0,548.0,549.77,233008
2025-07-21,0.0,554.0,540.0,545.21,126936
2025-07-22,0.0,555.5,545.2,554.63,172337
2025-07-23,0.0,562.0,543.6,551.41,132486
2025-07-24,0.0,556.0,547.1,548.08,95913
2025-07-27,0.0,554.0,545.1,547.84,147629
2025-07-28,0.0,547.0,536.0,540.43,183214
2025-07-29,0.0,552.0,545.0,548.55,142244
2025-07-30,0.0,555.0,545.0,545.18,115662
2025-07-31,0.0,548.2,535.0,536.48,110940
2025-08-03,0.0,538.0,522.5,524.4,166184
2025-08-04,0.0,532.0,519.0,527.97,103313
2025-08-05,0.0,540.0,517.5,527.73,91553
2025-08-06,0.0,530.0,523.0,525.93,48952
2025-08-07,0.0,534.9,525.6,527.36,63502
2025-08-11,0.0,534.0,525.0,526.3,69423
2025-08-12,0.0,534.5,524.2,524.86,79172
2025-08-13,0.0,524.9,522.0,523.63,50014
2025-08-14,0.0,526.5,523.1,523.82,47263
2025-08-17,0.0,528.0,519.0,521.21,63880
2025-08-18,0.0,524.0,517.0,518.95,48703
2025-08-19,0.0,525.0,518.0,518.81,44459
2025-08-20,0.0,521.0,517.0,518.81,43704
2025-08-21,0.0,524.9,517.3,518.14,38427
2025-08-24,0.0,520.0,513.0,513.56,72676
2025-08-25,0.0,525.0,509.0,522.58,81167
2025-08-26,0.0,533.0,514.5,529.35,67932
2025-08-27,0.0,539.9,526.5,533.87,64476
2025-08-28,0.0,538.9,527.0,528.86,83641
2025-08-31,0.0,536.9,520.0,520.84,66938
2025-09-01,0.0,531.2,518.0,527.66,42334
2025-09-02,0.0,538.2,523.3,523.75,34983
2025-09-03,0.0,529.0,519.0,519.88,34096
2025-09-04,0.0,528.0,515.0,517.58,40199
2025-09-07,0.0,517.8,507.3,514.87,25831
2025-09-08,0.0,515.0,510.0,513.15,42962
2025-09-18,0.0,502.9,471.0,483.0,16660
2025-09-21,0.0,514.0,474.0,510.18,122490
2025-09-23,0.0,525.0,513.0,523.5,55373
2025-09-24,0.0,528.0,515.0,522.0,59254
2025-09-25,0.0,524.9,516.0,521.6,28626
2025-09-28,0.0,528.0,521.0,527.0,30997
2025-10-07,0.0,530.0,512.6,521.0,48977
2025-10-08,0.0,523.0,505.0,514.0,78401
2025-10-09,0.0,544.0,514.0,519.9,43284
2025-10-12,0.0,530.2,505.0,510.5,65413
2025-10-13,0.0,520.0,506.0,510.0,53374
2025-10-14,0.0,518.5,510.0,510.0,31168
2025-10-15,0.0,518.0,507.0,508.7,38107
2025-10-16,0.0,517.9,506.0,509.0,37341
2025-10-19,0.0,512.0,506.0,507.9,38379
2025-10-26,0.0,508.0,503.0,505.3,32708
2025-10-28,0.0,510.0,505.0,509.0,49884
2025-10-29,0.0,516.3,507.0,507.0,51578
2025-10-30,0.0,512.0,503.1,506.0,37178
2025-11-02,0.0,516.1,508.0,511.1,33330
2025-11-03,0.0,517.0,510.1,513.1,32079
2025-11-04,0.0,517.9,511.1,511.1,27560
2025-11-05,0.0,516.9,508.0,513.1,27044
2025-11-06,0.0,517.0,506.7,507.3,46224
2025-11-09,0.0,514.9,507.0,508.5,39600
2025-11-10,0.0,510.0,506.0,509.0,49391
2025-11-11,0.0,510.0,505.3,507.9,21898
2025-11-12,0.0,508.9,504.0,504.0,29577
2025-11-13,0.0,505.1,502.0,503.0,32775
2025-11-16,0.0,506.9,501.0,503.5,31462
2025-11-17,0.0,509.9,504.0,508.0,24130
2025-11-18,0.0,510.0,505.6,507.1,24383
2025-11-19,0.0,511.0,505.0,507.0,18121
2025-11-20,0.0,508.0,503.0,506.0,27947
2025-11-23,0.0,510.5,505.0,509.5,48408
2025-11-24,0.0,513.9,507.0,513.0,22139
2025-11-25,0.0,518.0,508.5,510.5,29221
2025-11-26,0.0,513.0,507.0,511.0,35156
2025-11-27,0.0,517.0,509.0,514.9,50106
2025-11-30,0.0,522.0,513.0,513.2,40956
2025-12-01,0.0,519.4,510.5,512.0,21944
2025-12-02,0.0,516.8,510.0,512.5,39306
2025-12-03,0.0,515.0,510.0,510.2,25319
2025-12-07,0.0,510.0,502.0,503.0,88964
2025-12-08,0.0,503.0,495.0,495.0,81912
2025-12-09,0.0,500.0,491.1,496.0,55413
2025-12-10,0.0,500.0,493.0,494.7,29665
2025-12-11,0.0,497.5,492.0,495.0,37306
2025-12-14,0.0,500.0,490.0,492.0,78979
2025-12-15,0.0,495.0,489.0,494.0,36245
2025-12-16,0.0,500.0,494.0,499.0,30522
2025-12-17,0.0,505.0,497.0,499.9,44903
2025-12-18,0.0,504.0,495.1,499.0,39506
2025-12-21,0.0,504.4,493.0,497.0,24230
2025-12-22,0.0,500.0,492.0,497.1,36711
2025-12-23,0.0,502.0,496.5,497.2,33607
2025-12-24,0.0,500.0,496.1,498.6,40096
2025-12-28,0.0,504.0,496.0,503.4,61455
2025-12-29,0.0,508.9,500.0,506.5,78664
2025-12-31,0.0,502.0,494.7,496.7,65111
2026-01-01,0.0,496.0,490.0,492.0,35796
2026-01-04,0.0,495.0,488.1,490.3,44294
2026-01-05,0.0,492.0,488.1,489.5,57630
2026-01-06,0.0,492.0,489.0,489.5,47593
2026-01-07,0.0,493.9,489.0,489.0,38590
2026-01-08,0.0,492.0,486.5,489.0,35678
2026-01-12,0.0,495.0,487.0,487.0,40413
2026-01-13,0.0,496.0,485.0,488.1,60812
2026-01-14,0.0,490.0,487.0,487.5,44542
2026-01-18,0.0,492.0,487.7,490.8,71435
2026-01-20,0.0,500.0,490.8,496.5,72522
2026-01-21,0.0,504.0,493.0,496.1,44079
2026-01-22,0.0,498.0,492.3,493.1,63230
2026-01-25,0.0,499.0,492.0,497.2,104063
2026-01-26,0.0,504.0,496.0,497.0,109372
2026-01-27,0.0,500.0,492.1,494.9,72291
2026-01-28,0.0,495.0,490.1,492.0,48841
2026-01-29,0.0,508.0,493.0,497.0,132087
2026-02-01,0.0,506.0,497.0,498.1,84076
2026-02-02,0.0,500.0,488.2,498.8,61083
2026-02-03,0.0,500.0,496.0,498.0,78804
2026-02-04,0.0,502.0,489.0,496.1,49627
2026-02-05,0.0,501.0,496.5,499.3,98644
2026-02-08,0.0,500.9,497.0,498.5,75640
2026-02-09,0.0,499.0,494.0,495.9,68038
2026-02-10,0.0,499.8,492.1,496.4,63267
2026-02-11,0.0,500.0,495.0,496.0,42061
2026-02-12,0.0,498.7,492.5,495.0,83293
2026-02-16,0.0,498.8,493.0,497.9,82231
2026-02-17,0.0,498.5,492.0,497.0,90768
2026-02-22,0.0,497.8,490.0,495.0,43286
2026-02-23,0.0,498.6,493.0,495.4,57825
2026-02-24,0.0,497.9,495.0,496.0,33305
2026-02-25,0.0,499.0,495.0,496.0,30849
2026-02-26,0.0,499.0,496.5,497.9,32698
2026-03-01,0.0,500.0,494.0,499.0,58125
2026-03-03,0.0,508.9,497.0,504.0,53465
2026-03-09,0.0,550.0,514.0,545.0,4906
2026-03-10,0.0,555.0,528.0,534.8,271844
2026-03-11,0.0,539.0,525.0,527.0,78574
2026-03-12,0.0,531.7,522.0,529.0,81850
2026-03-15,0.0,539.0,528.5,530.5,92278
2026-03-16,0.0,532.0,523.0,523.0,67561
2026-03-17,0.0,530.0,523.0,525.8,47099
2026-03-19,0.0,536.0,527.0,535.2,151867
2026-03-22,0.0,545.9,537.0,542.1,178526
2026-03-23,0.0,546.0,536.7,542.0,100511
2026-03-24,0.0,546.0,542.5,544.6,99147
2026-03-25,0.0,548.0,538.0,539.0,133329
2026-03-26,0.0,543.0,533.0,543.0,58580
2026-03-29,0.0,550.0,534.0,534.1,174352
2026-03-30,0.0,539.0,525.1,527.0,104673
2026-03-31,0.0,535.0,520.0,531.0,86278
2026-04-01,0.0,531.0,520.0,523.0,70913
2026-04-02,0.0,524.9,512.0,517.5,83066
2026-04-05,0.0,518.0,499.8,505.3,103324
