Date,Open,High,Low,Close,Volume
2025-04-07,0.0,384.0,375.0,376.82,39850
2025-04-08,0.0,374.9,370.0,372.49,37140
2025-04-09,0.0,378.5,373.0,375.1,18012
2025-04-10,0.0,379.0,375.0,377.54,38690
2025-04-13,0.0,379.9,371.0,376.04,39615
2025-04-15,0.0,383.0,375.4,378.78,28213
2025-04-16,0.0,385.0,377.0,377.87,26891
2025-04-17,0.0,385.0,378.0,383.07,59899
2025-04-20,0.0,375.5,369.0,369.81,122259
2025-04-21,0.0,370.0,362.8,363.72,128678
2025-04-22,0.0,367.4,361.6,365.22,62793
2025-04-23,0.0,365.0,357.0,358.22,81937
2025-04-24,0.0,363.0,351.1,357.67,47357
2025-04-27,0.0,361.0,353.0,354.09,67402
2025-04-28,0.0,358.0,350.2,352.89,64893
2025-04-29,0.0,354.1,350.0,351.57,63441
2025-04-30,0.0,351.0,346.3,346.84,119600
2025-05-04,0.0,352.5,346.0,349.46,42458
2025-05-05,0.0,351.0,344.0,348.79,91034
2025-05-06,0.0,350.0,342.1,344.23,61181
2025-05-07,0.0,360.0,340.1,358.27,51281
2025-05-08,0.0,359.0,347.0,352.29,84006
2025-05-11,0.0,359.0,345.3,349.98,55925
2025-05-13,0.0,352.0,344.0,347.21,69156
2025-05-14,0.0,351.0,345.3,346.24,27056
2025-05-15,0.0,348.0,339.9,341.58,143396
2025-05-18,0.0,343.8,335.5,337.51,111931
2025-05-19,0.0,344.0,336.0,340.13,76308
2025-05-20,0.0,344.9,337.0,341.04,129948
2025-05-21,0.0,361.0,343.0,344.08,124236
2025-05-22,0.0,378.4,344.0,370.91,388565
2025-05-25,0.0,377.4,359.2,364.6,154179
2025-05-26,0.0,379.0,354.5,362.83,226738
2025-05-27,0.0,364.0,355.0,361.45,43915
2025-05-28,0.0,376.9,356.0,371.62,310444
2025-06-02,0.0,382.5,366.0,369.69,151086
2025-06-03,0.0,370.0,354.0,360.12,127629
2025-06-04,0.0,359.0,352.1,353.97,80718
2025-06-05,0.0,357.0,350.0,353.75,84068
2025-06-08,0.0,361.0,348.0,348.67,68124
2025-06-09,0.0,351.9,345.0,349.81,109064
2025-06-10,0.0,352.0,345.0,350.1,125344
2025-06-11,0.0,355.0,347.2,347.71,60834
2025-06-12,0.0,350.0,345.0,347.74,54077
2025-06-15,0.0,349.0,344.0,344.15,57297
2025-06-16,0.0,347.9,342.0,344.81,66024
2025-06-17,0.0,351.0,340.0,342.68,52555
2025-06-18,0.0,348.0,340.5,341.66,73017
2025-06-19,0.0,345.9,337.2,340.63,177028
2025-06-22,0.0,345.0,333.9,337.67,74852
2025-06-23,0.0,343.4,333.0,337.54,36751
2025-06-24,0.0,345.0,335.0,335.39,117512
2025-06-25,0.0,340.9,335.3,338.68,62197
2025-06-26,0.0,341.0,336.0,337.42,37902
2025-06-29,0.0,345.0,335.0,343.92,64107
2025-06-30,0.0,345.0,338.0,340.78,58312
2025-07-01,0.0,350.0,338.2,346.22,75776
2025-07-02,0.0,353.9,343.6,352.39,99579
2025-07-03,0.0,363.0,347.0,360.53,134444
2025-07-06,0.0,360.5,353.5,355.23,87837
2025-07-07,0.0,354.9,347.0,347.77,65015
2025-07-08,0.0,351.0,342.4,346.83,48932
2025-07-09,0.0,365.0,347.4,360.46,164992
2025-07-10,0.0,375.0,363.0,368.59,268028
2025-07-13,0.0,405.4,375.9,405.4,935652
2025-07-14,0.0,413.5,400.0,404.59,591115
2025-07-15,0.0,416.5,391.1,413.64,752172
2025-07-16,0.0,426.0,410.5,420.05,652885
2025-07-17,0.0,428.4,414.0,418.72,613888
2025-07-20,0.0,420.0,404.0,405.83,774408
2025-07-21,0.0,412.0,400.3,410.35,314794
2025-07-22,0.0,418.0,406.0,416.42,379370
2025-07-23,0.0,417.0,407.1,410.62,264074
2025-07-24,0.0,418.8,403.0,404.97,211844
2025-07-27,0.0,412.0,398.9,400.35,357867
2025-07-28,0.0,403.0,388.7,396.3,416122
2025-07-29,0.0,410.0,395.0,400.89,308929
2025-07-30,0.0,406.7,388.0,390.2,189372
2025-07-31,0.0,396.9,383.5,386.43,170007
2025-08-03,0.0,388.0,381.0,381.91,146401
2025-08-04,0.0,399.0,385.0,395.76,275662
2025-08-05,0.0,403.5,385.9,386.38,168482
2025-08-06,0.0,391.0,385.0,385.51,63156
2025-08-07,0.0,392.8,383.0,384.68,83056
2025-08-11,0.0,392.0,381.1,381.26,101169
2025-08-12,0.0,385.0,376.1,376.92,59057
2025-08-13,0.0,380.0,370.0,370.48,85556
2025-08-14,0.0,371.9,363.1,365.66,88358
2025-08-17,0.0,358.4,340.0,348.64,256794
2025-08-18,0.0,351.0,344.5,348.23,103749
2025-08-19,0.0,355.1,348.1,350.65,83058
2025-08-20,0.0,356.0,350.0,351.12,58516
2025-08-21,0.0,353.9,348.0,348.38,47481
2025-08-24,0.0,349.5,343.0,343.56,94633
2025-08-25,0.0,345.0,337.0,344.34,76387
2025-08-26,0.0,349.9,344.0,344.53,34295
2025-08-27,0.0,352.9,345.2,351.44,75720
2025-08-28,0.0,355.0,350.0,351.32,63594
2025-08-31,0.0,353.0,345.0,346.46,31039
2025-09-01,0.0,353.3,341.0,350.02,62119
2025-09-02,0.0,357.0,345.0,345.15,45243
2025-09-03,0.0,346.8,344.0,344.79,22544
2025-09-04,0.0,345.0,341.3,344.18,46045
2025-09-07,0.0,344.7,338.0,341.54,33752
2025-09-08,0.0,342.0,338.5,339.78,51679
2025-09-18,0.0,333.0,308.7,314.0,7459
2025-09-21,0.0,332.4,310.5,331.42,108087
2025-09-23,0.0,338.9,333.0,336.8,49990
2025-09-24,0.0,338.4,331.0,334.0,31306
2025-09-25,0.0,336.7,330.1,331.2,24603
2025-09-28,0.0,337.0,333.0,334.0,31511
2025-10-07,0.0,335.0,326.4,330.2,38679
2025-10-08,0.0,331.5,318.0,321.0,81048
2025-10-09,0.0,345.0,326.1,328.0,35932
2025-10-12,0.0,329.0,318.0,321.0,61096
2025-10-13,0.0,327.0,320.0,322.0,43486
2025-10-14,0.0,324.5,316.0,316.7,36339
2025-10-15,0.0,319.0,315.0,317.0,28907
2025-10-16,0.0,319.0,314.0,314.1,33027
2025-10-19,0.0,320.0,313.6,314.1,18515
2025-10-26,0.0,316.0,312.0,316.0,25544
2025-10-28,0.0,327.0,316.0,324.0,39389
2025-10-29,0.0,329.7,317.1,319.0,41189
2025-10-30,0.0,323.9,312.0,321.0,30393
2025-11-02,0.0,327.5,320.2,323.9,68588
2025-11-03,0.0,330.0,321.2,324.0,43294
2025-11-04,0.0,328.0,320.0,321.0,38008
2025-11-05,0.0,325.0,319.1,322.5,28471
2025-11-06,0.0,326.9,320.5,322.0,31827
