Date,Open,High,Low,Close,Volume
2026-03-15,0.0,330.0,300.0,330.0,860
2026-03-16,0.0,363.0,336.6,363.0,790
2026-03-17,0.0,399.3,367.7,399.3,840
2026-03-19,0.0,439.2,405.5,439.2,1850
2026-03-22,0.0,483.1,447.0,483.1,3690
2026-03-23,0.0,531.4,492.7,531.4,10180
2026-03-24,0.0,584.5,542.0,584.5,9590
2026-03-25,0.0,642.9,596.1,642.9,22360
2026-03-26,0.0,707.1,655.7,707.1,236950
2026-03-29,0.0,777.8,652.0,732.0,661803
2026-03-30,0.0,745.0,665.0,675.0,404031
2026-03-31,0.0,716.0,629.0,691.1,279142
2026-04-01,0.0,700.0,655.7,666.0,130296
2026-04-02,0.0,687.0,640.1,660.5,117989
2026-04-05,0.0,660.5,600.5,603.9,187035
